Year	Exhibitor 	Champion	Name	Notes
1970	J. S. Baillie, Sebay, Tankerness	6yo bull	Stype Ptolemy	By Newhouse Jewdo Eric, out of Stype Pride 29th; bought at Perth Feb 1970; 1st in class at Perth.
1971	T. S. Flett, Millhouse, Harray	2yo bull*	Eversharp of Millhouse	By Jovial Eric of Millhouse.
1972	T. S. Flett, Millhouse, Harray	3yo bull*	Everstrike of Millhouse	-
1973	J. S. Baillie, Sebay, Tankerness	3yo cow	Ermonax of Eastfield	By Juanamax Eric of Douneside.
1974	I. Flett & Sons, Millhouse, Harray	2yo bull*	Elmore of Millhouse	By Eversharp of Millhouse.
1975	S. & P. Davidson, Skaill, Sandwick	2yo bull	Jubilant Eric of Derculich	By Esteem of Balachan; bought at Perth in 1974 for 900gns.
1976	S. & P. Davidson, Skaill, Sandwick	3yo bull	Jubilant Eric of Derculich	
1977	J. W. Hepburn, Burnside, Tankerness	1yo heifer*	-	By Jumoir Eric of Abernight, out of homebred cow.
1978	J. S. Baillie, Sebay, Tankerness	7yo cow in calf*	Evamary 7th of Sebay	By Stype Ptolemy
1979	S. & P. Davidson, Skaill, Sandwick	2yo bull	Eranger of Bucham	By Blackman of Greenval (Canadian bred); 75% canadian; bought privately in Aberdeen, early 1979, from Ogg of Strathallan.
1980	S. & P. Davidson, Skaill, Sandwick	3yo bull	Eranger of Bucham	
1981	I. Flett & Sons, Millhouse, Harray	5yo bull	Ashley Jewdict Eric	By Eroco Bankhead; bought at Perth 1978; 1st in class at Perth.
1982	J. S. Baillie, Sebay, Tankerness	10yo cow in calf	Ethlinkage of Eastfield	By Gentle Junior of Sturton, out of Etchum of Eastfield.
1983	D. W. Sinclair & Co, Unigarth, Sandwick	9yo cow in milk*	Primlass of Unigarth	By Elprovost of Eastfield, out of Pearl of Unigarth.
1984	J. S. Baillie, Sebay, Tankerness	2yo heifer in calf	Princess of Broompark	By Ballycaher Noble, out of Princess 6th of Kinermony; bought from Charlie Ross, Broompark, Ross-shire.
1985	Messrs Sinclair, Unigarth & Wood, Garson	6yo bull	G V Winton 44L	By G V Canadian 7J out of G V Pride 40J; canadian bred, imported into UK by Mr Charles Oag, bought by exhibitors at dispersal sale in 1983 for 4500gns; champion AA at Royal Show in 1986.
1986	Messrs Sinclair, Unigarth & Wood, Garson	7yo bull	G V Winton 44L	
1987	J. S. Baillie, Sebay, Tankerness	5yo cow	Princess of Broompark	By Ballycaher Noble, out of Princess 6th of Kinermony; bought from Charlie Ross, Broompark, Ross-shire.
1988	J. S. Baillie, Sebay, Tankerness	6yo cow in calf	Princess of Broompark
1989	Messrs Davidson, Skaill, Sandwick	15mo bull*	-	By AA/AA Willyboy, out of Erora of Skaill.
1990	Messrs Davidson, Skaill, Sandwick	2yo heifer in calf	Nicks Delia	By DMM Esoteric, out of Tomil Delia.
1991	Messrs Davidson, Skaill, Sandwick	3yo cow	Nicks Delia	By DMM Esoteric, out of Tomil Delia.
1992	Messrs Davidson, Skaill, Sandwick	2yo heifer*	Skaill Delia	By Windover Justifier, out of Nicks Delia.
1993	J. S. Baillie, Sebay, Tankerness	6yo cow	Ethlinkage 2nd	By Wilmore Powerhouse, out of Etacism of Eastfield.
1994	Messrs Davidson, Skaill, Sandwick	4yo cow*	Skaill Delia	By Windover Justifier, out of Nicks Delia.
1995	J. Baillie, Sebay, Tankerness	8yo cow	Jan Erica of Little Kilry	By Euroe H48 of Newcairnie, out of Rashiehall Juana Erica H13.
1996	Messrs Davidson, Skaill, Sandwick	2yo heifer in calf*	Skaill Delia T2	By Rito 2100, out of Skaill Delia O2.
1997	E. S. H. Harcus, Quanterness Farm, St Ola	5yo bull	Gaffer Delobangst of Humbie	Junior champion at Perth in 1994.
1998	W. R. Baillie, Biggings, Toab	2yo heifer in calf	Lucy Gwen of Darmont	By TLA Northern Samurai, out of Argwen Lucy 82W; supreme champion at 1998 East Mainland Show.
1999	Messrs Davidson, Skaill, Sandwick 	1yo heifer*	Skaill Diana	By Edinburgh of The Moss, out of Skaill Diana R4. 
2000	Messrs Davidson, Skaill, Sandwick	8yo cow in calf*	Skaill Diana P8	By Canadian AI bull MVHF Extra, out of Nicks Delia.
2001	No Show due to Foot & Mouth outbreak.	
2002	J. W. Hepburn, Burnside, Tankerness	1yo heifer*	Newlot Esmerelda	By Galantray Predator, out of Esmerelda 6th of Newlot.
2003	Messrs Davidson, Skaill, Sandwick	2yo bull*	Skaill Express	By Darling Cruz, out of Skaill Estella.
